PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Cristiano Felicio,CHI,26,60,16,44,12.4,103.7,111.7,-8.0,7.0,1.12,13.2,10.1,18.7,14.3,11.8,53.1,56.8,13.8,101.48,8.6
Derrick Jones Jr.,MIA,22,60,31,29,19.2,103.8,105.0,-1.2,4.9,0.86,8.1,7.6,11.9,9.7,9.4,53.7,55.9,15.1,98.66,8.1
George Hill,MIL,33,60,39,21,21.7,108.9,103.3,5.6,14.6,2.65,22.7,2.8,7.5,5.2,8.6,51.6,55.4,14.7,101.93,7.9
Ian Clark,NOP,28,60,24,36,16.2,106.2,109.6,-3.4,13.2,1.62,17.2,1.2,7.1,4.2,10.6,48.0,50.2,18.5,106.16,5.2
Jerian Grant,ORL,26,60,28,32,15.6,100.5,107.7,-7.3,24.2,3.06,35.1,1.9,8.3,5.0,11.5,50.9,52.6,13.0,100.45,7.6
Kawhi Leonard,TOR,28,60,41,19,34.0,115.6,107.7,7.9,15.9,1.64,12.2,3.9,16.5,10.6,7.4,54.6,60.6,30.0,100.33,17.2
Maurice Harkless,POR,26,60,37,23,23.6,114.6,106.8,7.9,6.8,1.64,13.7,5.2,12.8,9.0,8.3,53.0,54.7,13.5,101.67,7.3
Norman Powell,TOR,26,60,45,15,18.8,105.7,105.5,0.2,11.9,1.40,15.5,1.3,10.2,5.8,11.1,56.8,59.6,18.2,103.48,9.2
Ante Zizic,CLE,22,59,13,46,18.3,106.3,110.2,-3.9,7.5,0.87,10.5,9.7,19.3,14.4,12.1,55.3,59.0,17.8,99.35,10.3
Emmanuel Mudiay,NYK,23,59,13,46,27.2,104.0,114.8,-10.8,24.2,1.63,19.2,1.9,9.8,5.7,11.8,49.3,53.1,24.8,101.46,9.8
Georges Niang,UTA,26,59,41,18,8.8,103.9,111.6,-7.7,10.7,1.52,14.2,2.2,13.5,8.1,9.3,59.4,61.3,17.0,104.39,9.0
Ivica Zubac,LAC,22,59,32,27,17.6,106.5,104.7,1.8,9.3,0.90,11.1,10.8,21.6,16.4,12.3,55.9,60.4,19.9,104.36,12.7
