Player,Team,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Omri Casspi,MEM,2176260,2176260,0,0,0,0,0
Otto Porter,CHI,53262489,26011913,27250576,28489239,0,0,0
P.J. Tucker,HOU,18887764,7969537,8349039,7969537,0,0,0
Pascal Siakam,TOR,3896790,1544951,2351839,0,0,0,0
Pat Connaughton,MIL,3364050,1641000,1723050,0,0,0,0
Patrick Beverley,LAC,45027028,5027028,0,0,0,0,0
Patrick McCaw,CLE,323529,323529,0,0,0,0,0
Patrick McCaw,TOR,8786000,786000,0,0,0,0,0
Patrick Patterson,OKC,11162800,5451600,5711200,0,0,0,0
Patty Mills,SAS,37285714,11571429,12428571,13285714,0,0,0
Pau Gasol,MIL,527467,527467,0,0,0,0,0
Pau Gasol,SAS,20200000,15100000,5100000,0,0,0,0
Paul George,OKC,30560700,30560700,33005556,35450412,37895268,0,0
Paul Millsap,DEN,60230769,29730769,30500000,0,0,0,0
Quincy Acy,PHO,213949,213949,0,0,0,0,0
Quincy Pondexter,SAS,2165481,2165481,0,0,0,0,0
Quinn Cook,GSW,1544951,1544951,0,0,0,0,0
Rade Zagorac,MEM,1378242,1378242,0,0,0,0,0
Rajon Rondo,LAL,11564753,9000000,0,0,0,0,0
Raul Neto,UTA,2150000,2150000,0,0,0,0,0
Ray Spalding,DAL,838464,838464,0,0,0,0,0
Ray Spalding,PHO,232117,232117,0,0,0,0,0
Raymond Felton,OKC,2393887,2393887,0,0,0,0,0
Reggie Bullock,LAL,2500000,2500000,0,0,0,0,0
Reggie Jackson,DET,35130434,17043478,18086956,0,0,0,0
Richard Solomon,OKC,47371,47371,0,0,0,0,0
Richaun Holmes,PHO,1600520,1600520,0,0,0,0,0
Ricky Rubio,UTA,14975000,14975000,0,0,0,0,0
Robert Covington,MIN,46879127,10464092,11301219,12138345,12975471,0,0
Robert Williams,BOS,3591960,1654440,1937520,2029920,3661976,0,0
Robin Lopez,CHI,14357750,14357750,0,0,0,0,0
Rodions Kurucs,BRK,5097708,1618320,1699236,1780152,1861068,0,0
Rodney Hood,POR,9190887,3472887,0,0,0,0,0
Rodney McGruder,LAC,1544951,1544951,0,0,0,0,0
Ron Baker,NYK,4544400,4544400,0,0,0,0,0
Ron Baker,WAS,170915,170915,0,0,0,0,0
Rondae Hollis-Jefferson,BRK,2470357,2470357,0,0,0,0,0
Royce O'Neale,UTA,1378242,1378242,1618520,0,0,0,0
Rudy Gay,SAS,38087200,10087200,0,0,0,0,0
Rudy Gobert,UTA,74775281,23241573,25008427,26525281,0,0,0
Russell Westbrook,OKC,35654150,35654150,38178000,41006000,43848000,46662000,0
Ryan Anderson,MIA,36065296,20421546,5214583,5214583,5214584,0,0
Ryan Arcidiacono,CHI,7349383,1349383,0,0,0,0,0
Ryan Broekhoff,DAL,2282306,838464,1443842,0,0,0,0
Salah Mejri,DAL,1567007,1567007,0,0,0,0,0
Sam Dekker,WAS,2760095,2760095,0,0,0,0,0
Scott Machado,LAL,47371,47371,0,0,0,0,0
Scotty Hopson,OKC,85458,85458,0,0,0,0,0
Semi Ojeleye,BOS,2996762,1378242,1618520,1752950,0,0,0
Serge Ibaka,TOR,44938271,21666667,23271604,0,0,0,0
Seth Curry,POR,2795000,2795000,0,0,0,0,0
Shabazz Napier,BRK,1942422,1942422,1845301,0,0,0,0
Shai Gilgeous-Alexander,LAC,3375360,3375360,3952920,4141320,5495532,0,0
Shaquille Harrison,CHI,1486265,1311265,0,0,0,0,0
Shaquille Harrison,PHO,50000,50000,0,0,0,0,0
Shaun Livingston,GSW,10974358,8307692,666667,666667,666666,0,0
Shelvin Mack,CHO,2029463,2029463,0,0,0,0,0
Shelvin Mack,ORL,1000000,1000000,0,0,0,0,0
Sindarius Thornwell,LAC,1378242,1378242,0,0,0,0,0
Skal Labissière,POR,3883798,1544951,2338847,0,0,0,0
Solomon Hill,NOP,12252928,12252928,13258781,0,0,0,0
Spencer Dinwiddie,BRK,23656092,1656092,10600000,11400000,12300000,0,0
Spencer Hawes,MIL,4014116,2007058,2007058,0,0,0,0
Stanley Johnson,NOP,3940402,3940402,0,0,0,0,0
Stephan Hicks,IND,47371,47371,0,0,0,0,0
Stephen Curry,GSW,166476240,37457154,40231758,43006362,45780966,0,0
Sterling Brown,MIL,2996762,1378242,1618520,0,0,0,0
Steven Adams,OKC,77528091,24157304,25842697,27528090,0,0,0
Sviatoslav Mykhailiuk,DET,2904546,1487694,1416852,1663861,0,0,0
T.J. Leaf,IND,5220840,2407560,2813280,4326825,0,0,0
T.J. McConnell,PHI,1600520,1600520,0,0,0,0,0
T.J. Warren,PHO,11750000,11750000,10810000,11750000,12690000,0,0
Tahjere McCall,BRK,47371,47371,0,0,0,0,0
Taj Gibson,MIN,14000000,14000000,0,0,0,0,0
Tarik Phillip,WAS,9474,9474,1443842,0,0,0,0
Taurean Waller-Prince,ATL,2526840,2526840,3481986,0,0,0,0
Terrance Ferguson,OKC,4594680,2118840,2475840,3944013,0,0,0
Terrence Jones,HOU,198580,198580,0,0,0,0,0
Terrence Ross,ORL,60500000,10500000,0,0,0,0,0
Terry Larrier,DAL,6000,6000,0,0,0,0,0
Terry Rozier,BOS,3050390,3050390,0,0,0,0,0
Thabo Sefolosha,UTA,5250000,5250000,0,0,0,0,0
Thaddeus Young,IND,13764045,13764045,0,0,0,0,0
Theo Pinson,BRK,1450434,4737,0,0,0,0,0
Thomas Bryant,WAS,26378242,1378242,0,0,0,0,0
Thon Maker,DET,6369363,2799720,3569643,0,0,0,0
Tim Duncan,SAS,1881250,1881250,0,0,0,0,0
Tim Frazier,MIL,205098,205098,0,0,0,0,0
Tim Frazier,NOP,1621415,1621415,0,0,0,0,0
Tim Hardaway,DAL,35475000,17325000,18150000,18975000,0,0,0
Timofey Mozgov,ORL,32720000,16000000,5573333,5573333,5573334,0,0
Timothé Luwawu-Cabarrot,CHI,1544951,1544951,0,0,0,0,0
Tobias Harris,PHI,194800000,14800000,0,0,0,0,0
Tomáš Satoranský,WAS,3129187,3129187,0,0,0,0,0
Tony Bradley,UTA,3641880,1679520,1962360,3542060,0,0,0
Tony Parker,CHO,5000000,5000000,0,0,0,0,0
Tony Snell,MIL,10607143,10607143,11392857,12178571,0,0,0
Torrey Craig,DEN,4100000,2000000,2100000,0,0,0,0
Trae Young,ATL,11629440,5356440,6273000,6571800,8326471,0,0
Treveon Graham,BRK,1512601,1512601,1645357,0,0,0,0
Trevor Ariza,WAS,15000000,15000000,0,0,0,0,0
Trey Burke,DAL,1795015,1795015,0,0,0,0,0
Trey Lyles,DEN,3364249,3364249,0,0,0,0,0
Tristan Thompson,CLE,36008695,17469565,18539130,0,0,0,0
Troy Brown,WAS,5968560,2749080,3219480,3372840,5170564,0,0
Troy Daniels,PHO,3258539,3258539,0,0,0,0,0
Troy Williams,HOU,613705,122741,122741,122741,122741,122741,0
Troy Williams,NOP,34183,34183,0,0,0,0,0
Tyler Dorsey,MEM,1378242,1378242,0,0,0,0,0
Tyler Johnson,PHO,38490740,19245370,19245370,0,0,0,0
Tyler Lydon,DEN,1874640,1874640,0,0,0,0,0
Tyler Zeller,ATL,106974,106974,0,0,0,0,0
Tyler Zeller,MEM,64185,64185,0,0,0,0,0
Tyreke Evans,IND,12400000,12400000,0,0,0,0,0
Tyrone Wallace,LAC,1349383,1349383,1588231,0,0,0,0
Tyson Chandler,LAL,0,2393887,0,0,0,0,0
Tyson Chandler,PHO,13585000,13585000,0,0,0,0,0
Tyus Jones,MIN,2444053,2444053,0,0,0,0,0
Udonis Haslem,MIA,2393887,2393887,0,0,0,0,0
Victor Oladipo,IND,63000000,21000000,21000000,21000000,0,0,0
Vince Carter,ATL,2393887,2393887,0,0,0,0,0
Wade Baldwin,IND,1544951,1544951,0,0,0,0,0
Walt Lemon,CHI,99107,99107,0,0,0,0,0
Wayne Ellington,DET,2383076,2383076,0,0,0,0,0
Wayne Ellington,PHO,6270000,6270000,0,0,0,0,0
Wayne Selden,CHI,1544951,1544951,0,0,0,0,0
Wendell Carter,CHI,9642600,4441200,5201400,5448840,6920027,0,0
Wesley Iwundu,ORL,2996762,1378242,1618520,0,0,0,0
Wesley Johnson,WAS,6134520,6134520,0,0,0,0,0
Wesley Matthews,IND,737715,737715,0,0,0,0,0
Wesley Matthews,NYK,18622514,18622514,0,0,0,0,0
Will Barton,DEN,38710358,11830358,12960000,13920000,14880000,0,0
Willie Cauley-Stein,SAC,4696875,4696875,0,0,0,0,0
Willy Hernangómez,CHO,1544951,1544951,1676700,0,0,0,0
Wilson Chandler,LAC,12800562,12800562,0,0,0,0,0
Yante Maten,MIA,114211,14211,1416852,1663861,0,0,0
Yogi Ferrell,SAC,6150000,3000000,3150000,0,0,0,0
Zach Collins,POR,7869120,3628920,4240200,5406255,0,0,0
Zach LaVine,CHI,78000000,19500000,19500000,19500000,19500000,0,0
Zach Randolph,DAL,11692308,11692308,0,0,0,0,0
Zaza Pachulia,DET,2393887,2393887,0,0,0,0,0
Zhaire Smith,PHI,5670600,2611800,3058800,3204600,4915856,0,0
Zhou Qi,HOU,506134,506134,0,0,0,0,0
Álex Abrines,OKC,5455236,5455236,0,0,0,0,0
Élie Okobo,PHO,2655316,1238464,1416852,1663861,1802057,0,0
Ömer Aşık,CHI,14286516,11286516,3000000,0,0,0,0
