Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Patrick Patterson,PF,29,Oklahoma City Thunder,63,861,8.1,0.493,0.626,0.13699999999999998,4.9,13.0,8.8,4.6,0.9,1.3,8.7,12.0,0.2,0.9,1.1,0.064,-3.0,-0.6,-3.7,-0.4,11162800,5451600,5711200,0,0,0,0
Justin Patton,C,21,Philadelphia 76ers,3,21,10.5,0.317,0.28600000000000003,0.28600000000000003,10.4,19.6,15.1,18.7,4.5,0.0,0.0,15.7,0.0,0.0,0.0,0.079,-2.3,2.1,-0.2,0.0,2667600,2667600,0,0,0,0,0
Chris Paul,PG,33,Houston Rockets,58,1857,19.7,0.56,0.493,0.282,2.1,13.9,7.9,39.3,3.0,0.8,15.8,22.5,4.4,2.2,6.6,0.172,2.9,0.2,3.0,2.4,35654150,35654150,38506482,41358814,44211146,0,0
Cameron Payne,PG,24,Chicago Bulls,31,536,10.3,0.49200000000000005,0.35100000000000003,0.149,2.0,8.8,5.4,22.4,1.8,1.0,16.0,17.4,-0.1,0.3,0.2,0.013999999999999999,-2.7,-1.6,-4.3,-0.3,3263295,3263295,0,0,0,0,0
Cameron Payne,PG,24,Cleveland Cavaliers,9,176,15.3,0.596,0.455,0.29100000000000004,1.8,10.6,6.0,20.0,2.3,1.5,15.1,18.1,0.2,0.1,0.3,0.08199999999999999,0.4,-1.5,-1.1,0.0,177063,177063,0,0,0,0,0
Elfrid Payton,PG,24,New Orleans Pelicans,42,1250,14.0,0.502,0.255,0.18,4.1,14.0,9.1,33.5,1.6,1.1,20.1,18.3,0.6,0.9,1.5,0.057999999999999996,-0.7,-0.1,-0.9,0.4,3000000,3000000,0,0,0,0,0
Gary Payton,PG,26,Washington Wizards,3,16,36.9,0.688,0.25,0.0,6.7,6.9,6.8,45.1,8.9,5.3,11.1,23.8,0.1,0.0,0.1,0.358,9.8,5.2,14.9,0.1,85458,85458,0,0,0,0,0
Theo Pinson,SG,23,Brooklyn Nets,18,211,8.1,0.49,0.63,0.301,2.0,15.9,9.0,14.1,1.4,0.0,17.9,20.0,-0.2,0.2,0.0,0.004,-3.7,-1.0,-4.8,-0.1,1450434,4737,0,0,0,0,0
Mason Plumlee,C,28,Denver Nuggets,82,1731,17.8,0.602,0.023,0.44799999999999995,10.3,22.5,16.4,19.5,1.9,3.9,19.2,16.2,2.9,2.9,5.8,0.16,-0.1,3.9,3.8,2.6,26958904,12917808,14041096,0,0,0,0
Miles Plumlee,C,30,Atlanta Hawks,18,173,18.9,0.654,0.0,0.625,9.5,14.3,11.8,14.7,1.6,2.0,14.0,16.7,0.4,0.1,0.5,0.145,0.2,-0.3,-0.1,0.1,12500000,12500000,12500000,0,0,0,0
Jakob Pöltl,C,23,San Antonio Spurs,77,1273,19.4,0.64,0.0,0.317,15.4,19.7,17.6,10.0,1.1,4.5,12.7,13.1,3.5,1.6,5.1,0.193,1.5,2.7,4.2,2.0,6702206,2947320,3754886,0,0,0,0
Quincy Pondexter,SF,30,San Antonio Spurs,53,292,13.2,0.6409999999999999,0.31,0.7240000000000001,3.0,14.1,8.6,10.6,1.8,0.3,14.5,13.5,0.5,0.3,0.8,0.128,-0.8,-0.6,-1.4,0.0,2165481,2165481,0,0,0,0,0
Otto Porter,SF,25,Chicago Bulls,15,492,18.0,0.609,0.39799999999999996,0.159,3.1,15.4,9.2,13.0,1.8,1.6,10.4,21.3,0.8,0.4,1.1,0.11199999999999999,1.7,-0.4,1.3,0.4,53262489,26011913,27250576,28489239,0,0,0
Bobby Portis,PF,23,Washington Wizards,28,768,15.3,0.53,0.33299999999999996,0.132,8.8,25.7,17.1,8.4,1.5,1.3,10.6,23.3,0.2,0.7,0.9,0.057999999999999996,-1.4,-1.4,-2.8,-0.2,2494346,2494346,0,0,0,0,0
Dwight Powell,C,27,Dallas Mavericks,77,1662,20.4,0.682,0.261,0.523,9.1,17.3,13.2,10.7,1.3,2.6,10.1,17.2,5.6,1.9,7.5,0.215,2.8,1.2,4.0,2.5,52890625,9631250,10259375,10185185,11000000,11814815,0
Norman Powell,SG,25,Toronto Raptors,60,1126,13.3,0.596,0.425,0.188,1.6,11.5,6.7,11.6,1.7,1.0,13.1,19.0,1.0,1.4,2.4,0.102,-0.4,-0.3,-0.7,0.4,30349728,9367200,10116576,10865952,11615328,0,0
Ivan Rabb,PF,21,Memphis Grizzlies,49,721,16.1,0.586,0.071,0.325,10.7,21.5,16.0,12.0,1.2,1.8,12.6,17.2,1.2,0.9,2.1,0.13699999999999998,-1.3,0.7,-0.6,0.2,1750000,1378242,1618520,0,0,0,0
